eventId;firPlace;eventType;eventTitleFemale0;teamQnt;prizeUSD;maxPrizeUSD;endDate
1840;10000;Reg. LAN;False;16.0;20000.0;20000;2015-09-06
1907;9502;Intl. LAN;False;2.0;11820.0;11820;2015-09-05
1924;0;Online;False;14.0;0.0;0;2015-09-04
1922;0;Online;False;2.0;0.0;0;2015-09-04
1904;50939;Online;False;14.0;100000.0;100000;2015-08-27
1917;1250;Online;False;4.0;2000.0;2000;2015-09-03
1913;0;Online;False;10.0;0.0;0;2015-09-03
1912;1250;Online;False;4.0;2000.0;2000;2015-09-01
3481;5560;Reg. LAN;False;4.0;11120.0;11120;2018-07-22
3782;5399;Local LAN;False;3.0;0.0;10500;2018-07-21
3803;5399;Online;False;4.0;0.0;10500;2018-07-22
3773;5399;Local LAN;False;4.0;0.0;10500;2018-07-28
3783;5399;Local LAN;False;4.0;0.0;10500;2018-07-29
3772;5399;Local LAN;False;4.0;0.0;10500;2018-08-04
3802;5399;Local LAN;False;4.0;0.0;10500;2018-08-05
3700;0;Local LAN;False;2.0;0.0;0;2018-08-11
3813;0;Local LAN;False;4.0;0.0;0;2018-08-11
3799;112120;Intl. LAN;False;8.0;225000.0;225000;1999-11-30
3482;0;Online;False;8.0;0.0;0;2018-10-09
3771;5399;Local LAN;False;8.0;0.0;10500;2018-08-19
3781;5399;Local LAN;False;3.0;0.0;10500;2018-08-19
3699;7000;Reg. LAN;False;22.0;10000.0;10000;2018-09-02
3564;70000;Major;False;16.0;1000000.0;1000000;2018-09-23
3376;0;Intl. LAN;False;16.0;0.0;0;2018-12-09
3873;39121;Intl. LAN;False;8.0;90000.0;90000;2018-09-30
3875;4458;Reg. LAN;False;4.0;8000.0;8000;2018-10-13
3483;0;Reg. LAN;False;4.0;0.0;0;2018-10-21
3701;112144;Intl. LAN;False;6.0;250000.0;250000;2018-11-03
3484;0;Reg. LAN;False;4.0;0.0;0;2018-12-01
3753;3600;Online;False;17.0;12000.0;12000;2018-08-15
3877;1900;Local LAN;False;4.0;3500.0;3500;2018-07-08
3742;7175;Intl. LAN;False;16.0;12000.0;12000;2018-07-08
